bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Chromis-erotus-cras-0.jpg,sphingidae-of-guam-0.jpg,Chromis erotus cras,1167,195,1306,584
Deilephila-placida-placida-1.jpg,sphingidae-of-guam-0.jpg,Deilephila placida placida,1165,195,1667,1308
Theretra-silhetensis-intersocta-2.jpg,sphingidae-of-guam-1.jpg,Theretra silhetensis intersocta,1220,249,569,245
Herso-convolvuli-3.jpg,sphingidae-of-guam-1.jpg,Herso convolvuli,1230,251,1379,564
Cephanodes-armatus-marianna-4.jpg,sphingidae-of-guam-1.jpg,Cephanodes armatus marianna,1210,254,1701,1377
