image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Monomorium floricola.jpg,"*8. Monomorium ﬂoricola (Jerdon).<br>Atm floriwla Jerdon, Madras Lit. Sci, Jour. 17: 107, 1851.<br>Manamorium florimla (Jerdon) Bingham Fauna Brit. India, Hymenopt.<br>2:211,1903. Wheeler, New York Ent. Soc, Jour. 20. 45, 1912<br> B. P<br>Bishop Mus, Occ. Papers 11(11): 23, 1935. 3<br>Ritidian Pt, April 15, Bryan<br> Upi Trail, May 5, Bryan, Swezey<br> Urnatac,<br>May 28, Swezey<br> Barrigada, June 14, Swezey <br> Machanao, June 2, 4, 30, Swe»<br>zey<br> Piti, July, Aug. 8, Oct. 5, 9, 27, Swezey<br> Orote Peninsula, Sept. 27,<br>Swezey.<br>A tiny, black, pantropical ant. Collected by Fullaway in 1911. A bad house<br>pest, sometimes destroying insect specimens by gaining access to tins and vials."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Cremastogaster biroi.jpg,"4. Cremastogaster biroi Mayr, Tennész. Fiizetek. 20: 428, 1897, Wheeler,<br>New York Ent. Soc., Jour. 20 : 45, 1912.<br>Crematogasier (Orthocrema) biroi Mayr, Wheeler, B. R Bishop Mus,<br>Occ. Papers 11(11) :21, 1935.<br>Ritidian Pt, April 15, Bryan<br> Dededo, May 11, under bark or in rotten 10g,<br>Swezey <br> Machanao, June 5, Usinger<br> Yigo, Nov, 13, Swezey.<br>This small, pale ant occurs in India and Ceylon. It was ﬁrst collected in<br>Guam in 1911 by Fullaway."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Camponotus irritans chloroticus.jpg,"28. Camponotus (Tanaemyrmex) irritans chloroticus Emery.<br>Campanotus mac-alums chlarotious Emery, Mus. civ. stor. nat. Genova 38:<br>574, 1897. Wheeler, New York Ent. Soc, Jour. 20: 47, 1912.<br>Campmzotus (Tandem-mm”) irritam chloroticus Emery, \Vheeler, B. P,<br>Bishop Mus, Occ. Papers 11(11) : 39, 1935.<br>Ritidian PL, April 15, 16, 22, Bryan<br> Mt. Tenjo, May 3, nest in rotten<br>stick, Bryan, Swezey<br> Machanao, June 2, 30, Aug. 6, Swezey<br> Mt. Alifan,<br>June 27, Usinger<br> Sumay Road, June 23, nest in stump of Ltmmitzem, Swe-<br>zey<br> Libugon, July 10, Swezey<br> Fadian, Aug, 19, Swezey<br> Piti, nest in bamboo<br>stump, Oct. 27, Swezey,<br>This large pale brown wood ant occurs in New Caledonia, Loyalty Islands,<br>New Britain, and Matupi Island. It was collected in Guam by Fullaway in<br>1911. We found it everywhere in stumps and rotten logs, sometimes in very<br>populous nests."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Nylanderia bourbonica.jpg,"26. Nylanderia bourbonica (Forel).<br>Prenalepix bourbonica Forel, Soc. Ent. Belg, Ann. 30: 210, 1886. Grandi-<br>dier, Hist. Madagascar 20:82, 1891. Wheeler, New York Ent. Soc,<br>Jour. 20:46, 1912.<br>Nylanderia bourborzica (Forel) Wheeler, B, P. Bishop Mus, Occ. Papers<br>11(11):49, 1935.<br>Youa, Mar. 28, Bryan<br> Ritidian Pt, April 15, 16, Bryan<br> M t. Alifan, April<br>20, Bryan<br> Merizo, April 24, Bryan<br> Mt. Tenjo, under stones, May 3, Swezey<br><br>Upi Trail, May 5, Swezey<br> Santa Rosa, May 19, Swezey<br> Umatac, May 28,<br>Swezey<br> Piti, July 24, on cane, Sept 26, in garden, Swezey<br> Maclianao, Aug.<br>6, Swezey <br> Yigo, Oct. 18, Swezey <br> Piti, Oct. 27, in bamboo stump, Swezey.<br>:‘A blackish, ordinary sized am, known from Nicobar, Reunion, Car—<br>gados and Chagas Islands, and India. Collected in Guam by Fullaway in<br>1911. We found it one of the common ants in 1936."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Ponera punctatissima.jpg,"2. Ponera punctatissima subspecies schauinsLandi Emery, Zoo]. Jahrb. Abt.<br>Syst. 122438, 1899. Wheeler, New York Ent. $06., Jour. 20:44, 1912<br><br>B. P. Bishop Mus, Occ. Papers 11(11) : 13, 1935‘<br>Agana Swamp, May 4, in rotten Pandanm log, Swezey, Usinger<br> Piti, in<br>house, Aug. 9, at base of sedges, Aug. 24, swept from sedges, Sept. 21,<br>Swezey.<br>This subspecies was described from Laysan lsland. Previously collected in<br>Guam by Fullaway in 1911."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Triglyphotrix striatidens.jpg,"20. Triglyphothrix striatideus (Emery).<br>Tetram-oriu-m obesmn race striavfidem Emery, Mus. civ. stor. nat. Geneva,<br>Ann. II, 7: 501, 1889.<br>Triglyplmthrix obesa (Emery) Wheeler, New York Ent. Soc, Jour. 20:<br>46, 1912.<br>Triglyphathria<br> striat'idem (Emery) Bingham, Fauna Brit. India, Hy—<br>menopt. 2:173, 1903. Wheeler, B. P. Bishop Mus, Occ. Papers 11<br>(ll) :30, 1935.<br>Mt. Tenjo, May 3, Usinger<br> Barrigada, June 12, sifted from leaf mold on<br>ground, Usinger <br> Piti, Nov. 3, swept from lawn grass, Swezey.<br>A dark brown ant, smaller than the preceding species. Occurs in New<br>Britain, Solomon Islands, Ceylon and India. Collected in Guam by Fullaway<br>in 1911. We found it in only a few places in 1936."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Tetramorium guineense.jpg,"*19. Tetramorium guineense (Fabricius).<br>Formica guineense Fabricius, Ent. Syst. 2: 357, l793.<br>Tetramorium guineanse (Fabricius) Bingham, Fauna Brit. lndia, Hy-<br>nienopt. 2: 184, 1903. Wheeler, New York Ent, Soc, Jour. 20:46,<br>1912<br> B. P. Bishop Mus., Occ. Papers 11 (11) : 30, 19354<br>This red pantropical ant is distributed throughout the Paciﬁc area and to<br>India. It was collected in Guam by Fullaway in 1911, and is one of the very<br>abundant Species It was collected practically everywhere, and in many situa—<br>tions: in cane ﬁelds, often nesting in rotten cane, often associated with mealy—<br>bugs<br> in the house, the garden, and lawn<br> nesting under bark of Pithecnlobiu-m,<br>in dead branch of breadfruit and orange, in rotten bamboo stumps<br> on corn,<br>cacao, and pumpkin vines. In one nest among bases of coconut leaf stems were<br>the small yellow lepismids which are inhabitants of ant nests,"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Nylanderia minutula atomus fullawayi.jpg,"25. Nylanderia minutula subspecies atomus variety fullawayi (Wheeler).<br>Prenolepis minutula atomus fullawa-yi \Nheeler, New York Ent. See, Jour.<br>20: 46, 1912.<br>Nylmzdervia minutula. 111077141: variety fullazumyi (Wheeler), B. P. Bishop<br>Mus, Occ. Papers 11(11) : 50, 1935.<br>Upi Trail, May 5, Bryan, Swezey<br> Maehanao, June 2, 4, Swezey <br> Barri—<br>gada, July 6, Swezey.<br>This tiny blackish ant (variety fzrllazvayi) was described from specimens<br>collected in Guam by Fullaway in 1911. We collected it, by sweeping, in only<br>a few places. It may have been overlooked because of its small size."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Monomorium destructor.jpg,"*7. Monomorium (Parholcomyrmex) destructor (Jerdon).<br>Atta. dext'rmtor Jerdon, Madras Lit. Sci, Jourl 17: 105, 1851‘<br>M anmnorimn dextr'uctor (Jerdon) Bingham, Fauna Brit. India, Hymenopt.<br>2:209, 1903. Wheeler, New York Ent. Soc, Jour. 20:45, 1912‘<br>M anomor'ium (Parholcmvnyrmex) destructor (Ierdon) Wheeler, B, R<br>Bishop Mus., Occ. Papers 11(11) : 25, 1935.<br>Tiyan, April 2, Bryan<br> Orote Peninsula, April 9, Bryan<br> Piti Hills, May 1,<br>Usinger <br> Piti, July, Swezey <br> Fadian, Aug 19, Swezey,<br>A yellowish»brown, pantropical ant with dark abdomen. Collected by Fulla—<br>way in 1911."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/ANoplolepis longipes.jpg,"24. Anoplolepis longipes (Jerdon).<br>Formica longipes Jerdon, Madras Lit. Sci, Jour. 17: 122, 1851.<br>Plagiolepix longipes (Jerdon) Bingham, Fauna Brit. India, Hymenopt, 2:<br>320, ﬁg. 97, 1903,<br>Anoplolepis longipes (Jerdon) Wheeler, B. P. Bishop Mus, Occ. Papers<br>11(11):37, 1935<br> 12(18):15, 1936.<br>This lively, long—legged, yellowish ant is distributed throughout the Paciﬁc<br>islands, Papua, Indomalaya, Reunion, Ceylon, India, and Burma. It was col—<br>lected in Guam by Fullaway in 191 l. We collected it practically everywhere we<br>went in Guam in l936, and in many kinds of situations. Nests were in rotten<br>logs, under stones, and one populous nest was in the dead frond of the giant<br>fern (Angiopteris warm), They were lively on garden plants and shrubbery,<br>and could be swept from most plants in the forests. They were always running<br>on the ﬂoor of our residence and in corners, and any insect dropped on the ﬂoor<br>would soon be found and dragged oﬂ’. The female is brown and many times<br>larger than the worker. The male is a little larger than the worker and of the<br>same color."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Camponotus reticulatus fullawayi.jpg,"29. Camponotus (Myrmamblys) reticulatus subspecies fullawayi Wheeler,<br>New Ycuk Ent. Soc, Jour. 20: 47, 1912<br> B. P. Bishop Mus., Occ. Papers<br>11(11): 41, 1935<br>Ritidian Pt, April 16, B1yan, J1me2, Usinger<br> Upi T1ail, May 5 Swezey<br><br>Agana, May 15, Swezey, Usiuge1 , Santa Rosa Peak, May 19, Swezey<br> Macha—<br>nae, June 2, 4, Swezey<br> Barrigada, July 6, Swezey<br> Yigo, Oct. 18, Now 13,<br>Swezcy.<br>The subspecies of this black wood ant was described from specimens col—<br>lected in Guam by Fullaway in 1911, It is not so abundant as C. (Tanarcmyr—<br>mex) irritam chloroticm, but we collected it in several localities."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Paratrechina longicornis.jpg,"*27. Paratrechina longicornis (Latreille).<br>Formica- longicomis Latreille, Hist. mat. Foun—nis, 113, 1802.<br>Prenolepix longicornis (Latreille) Bingham, Fauna Brit. India, Hymenoptl<br>2<br> 326, 1903.<br>Parurtrechina longicomis (Latreille) Wheeler, B. P‘ Bishop Mus... Occ‘<br>Papers 10(21): 17, 1934, and 11(11) :48, 1935.<br>Barrigada, July 22, Swezey <br> Piti, Oct. 23, in cane ﬁeld, Swezey.<br>A dark brown ant the size of Nylcmderia bombarded, with very long scape<br>to the antennae, It is a tropicopolitan ant, known in some places as the “crazy<br>ant” because of its rapid movements. Previously collected in Guam by Fulla-<br>way in 1911. Apparently it is rare, as we have it from only two localities."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Pheidole javana.jpg,"14. Pheidole javana Mayr, Tijdschr. But. 10: 98, 1867. Wheeler, New York<br>Ent. Soc, Jour. 20: 45, 1912.<br>This large black P/widole was collected by Fullaway in Guam in 1911, but<br>we did not get it in 1936. Specimens of two or three smaller species of Pheidole<br>were collected in several regions."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Pheidole umbonata.jpg,"15. Pheidole umbonata Mayr, Sitzungsb. k. Akad. \Viss. VVien 53(1) : 510,<br>1866<br> 2001. bot. Ges. Wien, Verh. 20:978, 1870. Wheeler, B. P. Bishop<br>Musl, Occ. Papers 11(11) : 19, 1935.<br>Mt Tenjo, May 3, under stones, Swezey<br> Machanao, May 4, 16, in moss,<br>Swezey<br> Tumon, May 30, under bark, Usinger<br> Piti, July, Swezey<br> Barrigada.<br>july 6, 22, Swezey<br> Yigo, Nov 13, Swezey.<br>This dark brown ant is widespread in the Paciﬁc islands from Marquesas,<br>Tahiti, Samoa, Fiji, Tonga, NEW Caledonia, New Britain, Solomons and<br>Papua. Now recorded from Guam for the ﬁrst time. We found it widely dis»<br>tributed, and the most abundant of the species of Pheidole in Guam. Determi—<br>nation by M. R. Smith."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Technomyrmex albipes.jpg,"5‘23. Technomyrmex albipes (F. Smith).<br>Tapinro'ma ulbipes Smith, Linn. Soc. London, 2001., Jour. Proc. 6: 38, 1861.<br>Teclmomyrmex albipes (Smith) Binghzun, Fauna Brit. India, Hymenopt.<br>2: 301, ﬁg. 91, 1903. Wheeler, New York Ent. Soc, Jour. 20: 46, 1912<br><br>B. P. Bishop 1Vlus., Occ. Papers 11(11) :37, 1935.<br>Yona, Mar. 28, on tangerine trunk, Bryan<br> Orote Peninsula, April 9,<br>Bryan<br> Piti, April 30, on Pithecolobium, Usinger<br> Mt. Tenjo, May 3, Swezey<br><br>Mt. Chachao, May 16, Usinger <br> Mt. Alifan, May 21, in breadfruit 10g, Swe—<br>zey ,' Libugon, July 10, Swezey<br> Fadian, Aug. 19, nest in old seed of (thopag)<br>Ochrocarpm obowlis, Swezey <br> Piti, in garden Sept. 26, Swezey<br> Piti, Oct. 7,<br>in dead orange twigs, Swezey<br> Yigo, Nov. 13, Swezey."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Monomorium minutum.jpg,"10. Cardiocondyla emeryi Fore] [2’], Miinchen ent. \fer., Mitt. 5(1) : 5, 1881.<br>Wheeler, New York Ent. Soc, jour. 20:45, 1913<br> 131 P. Bishop Mus,<br>OccV Papers 11(11) :20, 1935.<br>Piti, Nov. 3, swept from lawn grass<br> Piti Hills, May 1, Usinger<br> Santa<br>Rosa Peak, May 19, chzey<br> Barrigada, July 6, Swezey<br> Faclian, Aug. 19,<br>Swezey <br> Piti, in (lead bamboo, Oct. 27, Swezey.<br>This small ant was collected in Guam by Fullaway in 1911. We collected<br>what may be this insect in different localities, but the identiﬁcation is not posi-<br>tive. This ant is known from the West Indies, Palestine, Madagascar, India,<br>and Tahiti.<br>9. Monomerium minutum Mayr, Zool.-b0t. Ges. W'ien, Verh. 5:453, 1855.<br>\Vheeler, B R Bishop Mus, Occ. Papers 11(11) :23, 1935.<br>Piti, Aug. 4, Sept. 26, Nov. 3, swept from lawn grass and found in garden,<br>Swezey ,' Fadian, Aug. 19, Swezey.<br>Another very small black ant, having several varieties distributed to various<br>Paciﬁc island groups. Not previously recorded from Guam."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Cardiocondyla wroughtoni.jpg,"11. Cardiocondyla wroughtoni (Ford) ?<br>Emeriyzz wroughtoni Fore], Soc. Ent. Belg, Ann 34: cxi, 1890.<br>Cardiocondyla wroughtani (Feral) Bingham, Fauna Brit. India, Hy—<br>_ menopt. 2 : 287, ﬁg. 86, 1903,<br>Piti, in garden, Sept. 20<br> Oct. 7, in dead orange twigs, Swezey.<br>This is paler than the preceding species, if I have them rightly placed. It<br>occurs in India<br> not previously collected in Guam."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Tapinoma melanocephalum.jpg,"”‘22. Tapinoma melanocephalum (Fabricius).<br>Formica melanacephalum Fabricius, Ent. Syst. 2 : 353, 1793.<br>Tapinoma melanacephalum (Fabricius) Bingham, Fauna Brit. India,<br>Hymenopt. 2 z 304, 1903. Wheeler, New York Ent. Soc, Iour. 20: 46,<br>1912<br> B. P. Bishop Mus, Occ. Papers 11(11) : 36, 1935.<br>Piti Hills, May 1, Usinger<br> Mt. Tenjo, May 3, Swezey<br> Mt. Alifan, June<br>27, in rotten log, Swezey<br> Sumay Road, June 23, in rotten stump of Lumm't-<br>gem, Swezey <br> Piti, July 30, 31, Sept. 26, in garden, Oct. 23, in cane ﬁeld, Oct.<br>27, in dead bamboo, Swezey<br> Fadian, Aug. 19, Swezey<br> Machanao, Aug. 11,<br>Swezey <br> Fonte Valley, Aug. 7, Swezey.<br>A very small pale pantropical ant, widely distributed throughout the Paciﬁc<br>area and the tropics of both hemispheres. Collected by Fullaway in Guam in<br>1911. Common in many situations."
