bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Leptynoptera-sulfurca-0.jpg,psyllidae-from-guam-0.jpg,Leptynoptera sulfurca,1271,296,1706,900
Leptynoptera-sulfurca-1.jpg,psyllidae-from-guam-1.jpg,Leptynoptera sulfurca,1136,181,314,213
Tyora-ornata-2.jpg,psyllidae-from-guam-1.jpg,Tyora ornata,1148,181,789,364
Mesohomotoma-hibisci-3.jpg,psyllidae-from-guam-1.jpg,Mesohomotoma hibisci,1177,178,1382,794
Arytaina-iolani-4.jpg,psyllidae-from-guam-1.jpg,Arytaina iolani,1148,181,1687,1442
Arytaina-variablis-glabrascuta-5.jpg,psyllidae-from-guam-2.jpg,Arytaina variablis glabrascuta,1247,267,1308,259
Trioza-guama-6.jpg,psyllidae-from-guam-2.jpg,Trioza guama,1249,284,1721,1358
